# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE61161|rrbs|Homo sapiens|39|GSE61161_RAW.tar(1.4GB)|cancer,development,epigenetics,drug_response|Specific molecular signatures underlie response to decitabine in CMML [ERRBS]|Myelodysplastic syndromes chronic myelomonocytic leukemia characterized mutations epigenetic modifiers aberrant DNA methylation methyltransferase inhibitors DMTis treat disorders highly variable few|
GSE63281|other_methylation|Mus musculus; Homo sapiens|34|GSE63281_RAW.tar(1.8GB)|development|Targeted disruption of DNMT1, 3A and 3B in human embryonic stem cells|SuperSeries composed SubSeries listed|
GSE63280|wgbs|Homo sapiens|8|GSE63280_RAW.tar(164MB)|development,epigenetics,crispr_gene_editing,gene_regulation|Targeted disruption of DNMT1, 3A and 3B in human embryonic stem cells [DNMT3A/3B DKO]|DNA methylation key epigenetic modification regulating gene expression maintaining genomic integrity Somatic patterns largely static apart focal dynamics regulatory elements further advance|
GSE63279|wgbs|Homo sapiens|8|GSE63279_RAW.tar(198MB)|development,epigenetics,crispr_gene_editing,gene_regulation|Targeted disruption of DNMT1, 3A and 3B in human embryonic stem cells [DNMT1]|DNA methylation key epigenetic modification regulating gene expression maintaining genomic integrity Somatic patterns largely static apart focal dynamics regulatory elements further advance|
GSE63278|wgbs|Homo sapiens|7|GSE63278_RAW.tar(1.3GB)|development,epigenetics,crispr_gene_editing,gene_regulation|Targeted disruption of DNMT1, 3A and 3B in human embryonic stem cells [WGBS]|DNA methylation key epigenetic modification regulating gene expression maintaining genomic integrity Somatic patterns largely static apart focal dynamics regulatory elements further advance|
GSE66017|wgbs|Arabidopsis thaliana|4|GSE66017_RAW.tar(758MB)|epigenetics,crispr_gene_editing|Effect of Chromomethylase-2 and Dicer-like-3 knockouts on DNA methylation|Whole genome bisulfite sequencing mutants order confirm wide association mapping identify respective genomic regions target|
GSE65685|other_methylation|Arabidopsis thaliana|113|GSE65685_RAW.tar(9.1GB)|development,epigenetics,plant_biology|Population epigenomics of Swedish Arabidopsis|Plants display remarkable developmental phenotypic plasticity order adapt environment long postulated epigenetics plays key processes one two exceptions solid evidence epigenetic variation lacking|
GSE54292|other_methylation|Arabidopsis thaliana|284|GSE54292_RAW.tar(83.2GB)|epigenetics,plant_biology|DNA methylation variation in Arabidopsis has a genetic basis and appears to be involved in local adaptation|investigate Swedish thaliana accessions demonstrating transposable elements temperature sensitive polymorphism cis trans body highly correlated climate origin shows evidence While genome-wide surveys|
GSE67292|wgbs|Mus musculus|4|GSE67292_RAW.tar(244MB)|neuroscience,epigenetics,signal_transduction|Length-dependent gene misregulation in Rett syndrome (Bisulfite-Seq 2)|Disruption MECP2 leads RTT severe neurological disorder features autism encodes methyl-DNA-binding protein proposed transcriptional repressor despite numerous examining neuronal expression mutants|
GSE59960|other_methylation|Homo sapiens|4|GSE59960_RAW.tar(310MB)|epigenetics,aging,gene_regulation,cell_cycle|Replicative senescence is associated with nuclear reorganization and DNA methylation at specific transcription factor binding sites (MBD-seq)|Primary cells enter limited number cell divisions process reproducible changes DNAm genome drives senescence-associated unknown arise drift regulated dependent modifications analyzed architecture lon|
GSE66555|methylation_array|Homo sapiens|65|GSE66555_non-normalized_signal.txt.gz(153MB), GSE66555_RAW.tar(183MB)|epigenetics|Formalin-fixed, paraffin-embedded (FFPE) tissue epigenomics using Infinium HumanMethylation450 BeadChip assays (HM 450K).|Comparative reproducibility Fresh Frozen derived DNA restored Restoration solution FFPEr|
GSE63638|other_methylation|Mus musculus|22|GSE63638_RAW.tar(85MB)|cancer,hematopoiesis,cell_stress,signal_transduction|The IDH2 mutation cooperates with the NPM1 mutation to activate Hoxa9/Meis1 and hypoxia pathways in acute myeloid leukemia|SuperSeries composed SubSeries listed|
GSE63635|medip_seq|Mus musculus|3|GSE63635_RAW.tar(3MB)|cancer,development,hematopoiesis,plant_biology,cell_stress,signal_transduction|The IDH2 mutation cooperates with the NPM1 mutation to activate Hoxa9/Meis1 and hypoxia pathways in acute myeloid leukemia (MeDip-seq)|Mutations IDH1 frequently various cancers AML Mutant IDHs convert ketoglutarate 2-hydroxyglutarate 2-HG dysregulates set ofα-KG-dependent dioxygenases determine valid targets cancer therapy|
GSE67159|other_methylation|Mus musculus|20|GSE67159_S1_dataset_description.txt.gz(1KB), GSE67159_S1_dataset.txt.gz(2MB)|development,epigenetics,reproduction|Prenatal Exposure to DEHP Affects Spermatogenesis and Sperm DNA Methylation in a Strain-Dependent Manner|impact mice strains FVB/N C57BL/6J exposition orally mothers 300 mg/kg/day gestation day sperm-extracted samples males born DEHP-treated control analysed MBD-seq NXT-DX company|
GSE67044|methylation_array|Homo sapiens|131|GSE67044_RAW.tar(45MB)|cancer,epigenetics|NALP3 inflammasome up-regulation and CASP1 cleavage of the glucocorticoid receptor causes glucocorticoid resistance in leukemia cells [HumanMethylation27]|Glucocorticoids universally treatment acute lymphoblastic confers poor prognosis elucidate determined prednisolone sensitivity primary 444 newly diagnosed patients higher expression caspase activator|
GSE67043|methylation_array|Homo sapiens|175|GSE67043_RAW.tar(1.3GB)|cancer,epigenetics|NALP3 inflammasome up-regulation and CASP1 cleavage of the glucocorticoid receptor causes glucocorticoid resistance in leukemia cells [HumanMethylation450 Somatic]|Glucocorticoids universally treatment acute lymphoblastic confers poor prognosis elucidate determined prednisolone sensitivity primary 444 newly diagnosed patients higher expression caspase activator|
GSE67042|methylation_array|Homo sapiens|63|GSE67042_RAW.tar(597MB)|cancer,epigenetics|NALP3 inflammasome up-regulation and CASP1 cleavage of the glucocorticoid receptor causes glucocorticoid resistance in leukemia cells [HumanMethylation450 Germline]|Glucocorticoids universally treatment acute lymphoblastic confers poor prognosis elucidate determined prednisolone sensitivity primary 444 newly diagnosed patients higher expression caspase activator|
GSE67097|methylation_array|Homo sapiens|13|GSE67097_RAW.tar(289MB)|cancer,epigenetics|Epigenome analysis of squamous cell carcinoma samples|wide DNA methylation profiling location matched normal|
GSE52980|methylation_array|Homo sapiens|119|GSE52980_RAW.tar(365MB)|aging,skin|Epigenome analysis of human epidermal and dermal samples with aging and sun exposure.|SuperSeries composed SubSeries listed|
GSE52972|other_methylation|Homo sapiens|12|GSE52972_BS_dat.txt.gz(2.7GB)|epigenetics,aging,skin|Epigenome analysis of human epidermal samples with aging and sun exposure|wide DNA methylation profiling obtained sum-exposed sun-protected body sites younger years old older individuals|
GSE61174|wgbs|Neurospora crassa|3|GSE61174_RAW.tar(2MB)|epigenetics,microbiology,cell_stress|Bisulfite-seq from Neurospora crassa a wild type (WT) strain grown in minimum medium, a dim-3 strain grown in minimum medium, and a dim-3 strain grown with supplemented histidine|report placement cytosine methylation filamentous fungus strains bisulfite-sequencing global reduction exacerbated supplementation growth causative mutation importin alpha NUP-6 component nuclear|
