# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE84474|cut_and_run|Homo sapiens; Saccharomyces cerevisiae|126|GSE84474_Cut-and-Run_extract_protocol.rtf.gz(9KB), GSE84474_Cut_and_Run_human.rtf.gz(9KB), GSE84474_Cut_and_Run_human_size_selection.rtf.gz(9KB), GSE84474_Cut-and-Run_PEG_protocol.rtf.gz(2KB), GSE84474_Cut-and-Run_spike-in_protocol.rtf.gz(2KB), GSE84474_Cut-and-Run_total_DNA_protocol.rtf.gz(2KB), GSE84474_Native_ChIP.rtf.gz(9KB), GSE84474_RAW.tar(9.7GB)|epigenetics,microbiology,cell_stress,gene_regulation|Cut-and-Run in situ factor profiling maps DNA binding and 3D contact sites at high resolution|Unlike Chromatin Immunoprecipitation ChIP fragments solubilizes total allowing high-resolution mapping probing local environment applied yeast human nuclei yielded precise transcription profiles|
GSE104676|cut_and_run|Homo sapiens|36|GSE104676_BCL11A_CD34_30min_combined.TGACCA.log.odds.binding.bed.gz(100KB), GSE104676_BCL11A_CD34_60min_combined.TGACCA.log.odds.binding.bed.gz(125KB), GSE104676_BCL11A_CD34_90min_combined.TGACCA.log.odds.binding.bed.gz(142KB), GSE104676_BCL11A_HUDEP_115edit_60min_combined.TGACCA.log.odds.binding.bed.gz(78KB), GSE104676_BCL11A_HUDEP_WT_60min_combined.TGACCA.log.odds.binding.bed.gz(55KB), GSE104676_RAW.tar(9.2GB)|development,epigenetics,gene_regulation|Direct Promoter Repression by BCL11A Controls the Fetal to Adult Hemoglobin Switch|HbF level genetically controlled modifies severity HbA disorders Common genetic variation affects expression critical regulator silencing Current models acts distance gamma-globin genes via|
GSE104550|cut_and_run|Homo sapiens|15|GSE104550_CUT-and-RUN_NatProt.rtf.gz(1KB), GSE104550_RAW.tar(1.7GB)|immunology,epigenetics|Targeted in situ genome-wide profiling with high efficiency for low cell numbers|Cleavage Under Targets Release Nuclease CUT RUN epigenomic strategy antibody-targeted controlled micrococcal releases specific protein-DNA complexes supernatant paired-end DNA sequencing fragments|
GSE104805|cut_and_run|Homo sapiens|35|GSE104805_CUT-and-RUN.Salt_cells.rtf.gz(2KB), GSE104805_CUT-and-RUN.Salt_nuclei.rtf.gz(2KB), GSE104805_NChIP_Salt.rtf.gz(940B), GSE104805_RAW.tar(10.5GB)|neuroscience,epigenetics,cell_cycle|Unexpected conformational variations of the human centromeric chromatin complex|Centromeres most eukaryotes multi-megabase arrays satellite DNA assemble proteinaceous kinetochores facilitate faithful chromosome segregation nature landscape part due difficulty isolating intact|
GSE108600|cut_and_run|Homo sapiens|10|GSE108600_RAW.tar(5.2GB)|immunology,epigenetics|CUT&RUN chromatin profiling of endogenously tagged and native BATF|Primary human CD4 cells isolated N-terminal GFP inserted locus anti-GFP anti-BATF antibodies assay occupancy Libraries prepared sequenced Illumina NextSeq platform|
GSE120011|cut_and_run|Homo sapiens|34|GSE120011_Janssens_protocols.docx.gz(4MB), GSE120011_RAW.tar(3.5GB)|immunology,epigenetics,gene_regulation,signal_transduction|Automated in situ profiling of chromatin modifications resolves cell types and gene regulatory programs|understanding eukaryotic regulation limited complexity protein-DNA interactions comprise landscape inefficient methods characterizing recently introduced CUT RUN antibody-targeted method profiles|
GSE116853|cut_and_run|Saccharomyces cerevisiae|63|GSE116853_CUT_RUN.ChIP_protocol.pdf(40KB), GSE116853_RAW.tar(591MB)|epigenetics,microbiology,gene_regulation|RSC Defines MNase-sensitive Promoter Architecture in Yeast|classic view nucleosome organization active promoters two well-positioned nucleosomes flank nucleosome-depleted region NDR recently challenged contradictory reports distinct set wider 150 NDRs|
GSE123602|cut_and_run|Arabidopsis thaliana|17|GSE123602_Endo_Allele_specific_150bin.txt.gz(6MB), GSE123602_Endo_Fixed_H3K27me3_1_epicregions.bed.gz(105KB), GSE123602_Endo_Fixed_H3K27me3_2_epicregions.bed.gz(90KB), GSE123602_Endo_H3K27me3_CxL_Colbiasedregions.bedgraph.gz(187KB), GSE123602_Endo_H3K27me3_CxL_Lerbiasedregions.bedgraph.gz(10KB), GSE123602_Endo_Unfixed_H3K27me3_1_epicregions.bed.gz(117KB), GSE123602_Endo_Unfixed_H3K27me3_2_epicregions.bed.gz(110KB), GSE123602_Leaf_H3K27me3_epicregions.bed.gz(94KB), GSE123602_RAW.tar(60MB)|development,epigenetics,reproduction,plant_biology|Low-input chromatin profiling in Arabidopsis endosperm using CUT&RUN|essential seed tissue unique epigenetic landscape development differential regulation maternal paternal genomes plays important regulating gene expression especially imprinted genes genome-wide scale|
GSE125053|cut_and_run|Mus musculus|14|GSE125053_RAW.tar(52.4GB)|development,epigenetics,gene_regulation|High-resolution analysis of chromatin structure by Mnase-SSP|Proof-of-concept variant Mnase-seq dramatically increases representation short fragments nucleolytically-digested DNA enabling simultaneous transcription factor binding nucleosome occupancy assay|
GSE128499|cut_and_run|Homo sapiens|109|GSE128499_bench-top-cut-amp-tag-bcuhiwt6.pdf(481KB), GSE128499_CUT-and-RUN_Standard_protocol.rtf.gz(1KB), GSE128499_CUTnRUNv2_Hi-cal-lo-salt_beads-first.rtf.gz(1KB), GSE128499_Janssens_protocols.docx.gz(4MB), GSE128499_RAW.tar(5.6GB)|development,epigenetics,cell_stress,gene_regulation|Pioneer factor-nucleosome binding events during differentiation are motif-encoded|Though vitro structural vivo spatial characteristics transcription defined interactions chromatin other companion TFs development poorly understood analyze profiled several across time course human|
GSE126612|cut_and_run|Homo sapiens|67|GSE126612_CUT-and-RUN_Antibody-first_Standard_protocol.rtf.gz(1KB), GSE126612_CUT-and-RUN_Standard_protocol.rtf.gz(1KB), GSE126612_CUTnRUNv2_Hi-cal-lo-salt_antibody-first.rtf.gz(1KB), GSE126612_CUTnRUNv2_Hi-cal-lo-salt_beads-first.rtf.gz(1KB), GSE126612_RAW.tar(3.6GB)|cancer,immunology,epigenetics|A streamlined protocol and analysis pipeline for CUT&RUN chromatin profiling|Over past two decades dominant technology immunoprecipitation ChIP cellular components solubilized fragment antibody added precipitate DNA/protein complex interest previously described novel|
